free_text,address,price,price_meter,rooms,area,more,add_link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,scraping_date,address_new,Longitude,Latitude
Mieszkanie Osiedle Aurora Nagórki ul. Barcza 50a,"Mieszkanie na sprzedaż: ul. Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",639000.0,11146,3 pokoje,57.33,"57,33 m²",/pl/oferta/mieszkanie-osiedle-aurora-nagorki-ul-barcza-50a-ID4ouEw,"57,33 m²",pełna własność,3,do zamieszkania,4/5,balkon,590 zł,Zapytaj,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2019,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. użytkowe",beton,2024-01-16,"Franciszka Barcza, Nagórki, Olsztyn, warmińsko-mazurskie",20.5040556,53.7497739
Przytulne M-3 z aneksem w nowej technologii!,"Mieszkanie na sprzedaż: ul. ks. Roberta Bilitewskiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",429000.0,10176,2 pokoje,42.16,Biuro nieruchomości,/pl/oferta/przytulne-m-3-z-aneksem-w-nowej-technologii-ID4oIfV,"42,16 m²",pełna własność,2,do zamieszkania,2/6,balkon,300 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2020,brak informacji,plastikowe,tak,brak informacji,brak informacji,brak informacji,piwnica,brak informacji,2024-01-16,"ks. Roberta Bilitewskiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",20.4751569,53.7363218
"Po generalnym remoncie, centrum! Parking, sklepy!","Mieszkanie na sprzedaż: ul. Tadeusza Kościuszki 60A, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",449900.0,8998,2 pokoje,50.0,50 m²,/pl/oferta/po-generalnym-remoncie-centrum-parking-sklepy-ID4mQ63,50 m²,pełna własność,2,do zamieszkania,3/4,balkon,552 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,brak informacji,kamienica,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,"piwnica, oddzielna kuchnia",cegła,2024-01-16,"Tadeusza Kościuszki 60A, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",20.488656360059174,53.777997400000004
Apartament na Gutkowie - stan deweloperski !,"Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569781.0,7050,4 pokoje,80.82,Biuro nieruchomości,/pl/oferta/apartament-na-gutkowie-stan-deweloperski-ID4n2dV,"80,82 m²",pełna własność,4,do wykończenia,parter/1,ogródek,Zapytaj,Zapytaj,Zapytaj,gazowe,pierwotny,biuro nieruchomości ,brak informacji,2023,apartamentowiec,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,pom. użytkowe,pustak,2024-01-16,"Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",20.388072,53.8011911
"Apartament Bud."" B"" 76,7m2 4pok +balkon +poddasze","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",531531.0,6930,4 pokoje,76.7,Biuro nieruchomości,/pl/oferta/apartament-bud-b-76-7m2-4pok-balkon-poddasze-ID4morY,"76,7 m²",pełna własność,4,do wykończenia,1/1,balkon,1 zł,garaż/miejsce parkingowe,Film,gazowe,pierwotny,biuro nieruchomości ,brak informacji,2023,apartamentowiec,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,"oddzielna kuchnia, pom. użytkowe",pustak,2024-01-16,"Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",20.388072,53.8011911
"Apartament Budynek ""A"" 4 pok 80m2+ogródek ok 200m2","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569781.0,7050,4 pokoje,80.82,Biuro nieruchomości,/pl/oferta/apartament-budynek-a-4-pok-80m2-ogrodek-ok-200m2-ID4jZEd,"80,82 m²",pełna własność,4,do wykończenia,parter/1,ogródek,Zapytaj,Zapytaj,Film,gazowe,pierwotny,biuro nieruchomości ,brak informacji,2023,szeregowiec,plastikowe,nie,"telewizja kablowa, internet, telefon",drzwi / okna antywłamaniowe,brak informacji,"oddzielna kuchnia, pom. użytkowe",pustak,2024-01-16,"Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",20.388072,53.8011911
"Apartament Bud."" B"" 80m2 4pok +ogródek ok 200m2","Mieszkanie na sprzedaż: ul. Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",569781.0,7050,4 pokoje,80.82,Biuro nieruchomości,/pl/oferta/apartament-bud-b-80m2-4pok-ogrodek-ok-200m2-ID4mnvE,"80,82 m²",pełna własność,4,do wykończenia,parter/1,ogródek,Zapytaj,garaż/miejsce parkingowe,Film,gazowe,pierwotny,biuro nieruchomości ,brak informacji,2023,apartamentowiec,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,"oddzielna kuchnia, pom. użytkowe",pustak,2024-01-16,"Księdza Kordeckiego, Gutkowo, Olsztyn, warmińsko-mazurskie",20.388072,53.8011911
"Mieszkanie 3 pok z WIDOKIEM w malowniczej wsi, RUŚ","Mieszkanie na sprzedaż: Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",269000.0,4606,3 pokoje,58.4,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pok-z-widokiem-w-malowniczej-wsi-rus-ID4oHGz,"58,4 m²",pełna własność,3,do zamieszkania,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,wtórny,biuro nieruchomości ,brak informacji,1929,brak informacji,plastikowe,nie,brak informacji,brak informacji,brak informacji,"oddzielna kuchnia, pom. użytkowe",cegła,2024-01-16,"Jaroty, Stawiguda, olsztyński, warmińsko-mazurskie",20.474624,53.728906
Przestronna kawalerka z wanną,"Mieszkanie na sprzedaż: ul. Bolesława Limanowskiego 22, Zatorze, Olsztyn, warmińsko-mazurskie",260000.0,12381,1 pokój,21.0,21 m²,/pl/oferta/przestronna-kawalerka-z-wanna-ID4oI2L,21 m²,pełna własność,1,do zamieszkania,3/3,Zapytaj,115 zł,Zapytaj,tak,gazowe,wtórny,prywatny,brak informacji,brak informacji,kamienica,plastikowe,nie,brak informacji,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",cegła,2024-01-16,"Bolesława Limanowskiego 22, Zatorze, Olsztyn, warmińsko-mazurskie",20.49199737167642,53.7875889
"OKAZJA 3 pok podleśna BOROWA, NOWE BUDOWNICTWO win","Mieszkanie na sprzedaż: ul. Borowa, Podleśna, Olsztyn, warmińsko-mazurskie",520000.0,10000,3 pokoje,52.0,52 m²,/pl/oferta/okazja-3-pok-podlesna-borowa-nowe-budownictwo-win-ID4omSj,52 m²,pełna własność,3,do zamieszkania,5/5,balkon,500 zł,Zapytaj,tak,miejskie,wtórny,prywatny,brak informacji,2014,blok,plastikowe,nie,internet,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka",pom. użytkowe,cegła,2024-01-16,"Borowa, Podleśna, Olsztyn, warmińsko-mazurskie",20.5010991,53.7966447
"Osiedle Aurora, M135, z tarasem i spiżarnią","Mieszkanie na sprzedaż: ul. Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",852720.0,12000,3 pokoje,71.06,Inwestycja deweloperska,/pl/oferta/osiedle-aurora-m135-z-tarasem-i-spizarnia-ID4evYX,"71,06 m²",pełna własność,3,do wykończenia,6/6,taras,Zapytaj,garaż/miejsce parkingowe,Film,Zapytaj,pierwotny,deweloper,brak informacji,2023,blok,brak informacji,tak,"internet, telefon","teren zamknięty, domofon / wideofon",brak informacji,brak informacji,brak informacji,2024-01-16,"Franciszka Barcza 50, Nagórki, Olsztyn, warmińsko-mazurskie",20.50443714430434,53.74716695
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570000.0,7945,3 pokoje,71.74,Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6tQ,"71,74 m²",pełna własność,3,do wykończenia,parter/1,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe,pierwotny,deweloper,brak informacji,2025,apartamentowiec,plastikowe,nie,internet,"system alarmowy, teren zamknięty",brak informacji,brak informacji,beton komórkowy,2024-01-16,"Gutkowo, Olsztyn, warmińsko-mazurskie",20.400654230051003,53.7997465
Bianco | mieszkanie 3 pok. M14,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",552000.0,8586,3 pokoje,64.29,Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-3-pok-m14-ID4jWDT,"64,29 m²",pełna własność,3,do wykończenia,2/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",20.5089124,53.770434
2 Pokojowe Nowe - gotowe do wprowadzenia,"Mieszkanie na sprzedaż: ul. Jarocka 21a, Jaroty, Olsztyn, warmińsko-mazurskie",447009.0,12961,2 pokoje,34.49,Biuro nieruchomości,/pl/oferta/2-pokojowe-nowe-gotowe-do-wprowadzenia-ID4oHWo,"34,49 m²",Zapytaj,2,Zapytaj,5,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,wtórny,biuro nieruchomości ,brak informacji,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Jarocka 21a, Jaroty, Olsztyn, warmińsko-mazurskie",20.492780781437197,53.74684105
Gotowe do zamieszkania - blisko jezioro - Leśna 10,"Mieszkanie na sprzedaż: Osiedle Nad Jeziorem Długim, Olsztyn, warmińsko-mazurskie",695000.0,11983,3 pokoje,58.0,58 m²,/pl/oferta/gotowe-do-zamieszkania-blisko-jezioro-lesna-10-ID4ofbm,58 m²,pełna własność,3,do zamieszkania,1/5,"balkon, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2012,brak informacji,brak informacji,tak,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,brak informacji,2024-01-16,"Osiedle Nad Jeziorem Długim, Olsztyn, warmińsko-mazurskie",20.4582865,53.7827276
Mieszkania z widokiem na jezioro!,"Mieszkanie na sprzedaż: ul. Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",815000.0,17979,2 pokoje,45.33,Biuro nieruchomości,/pl/oferta/mieszkania-z-widokiem-na-jezioro-ID4ohJB,"45,33 m²",pełna własność,2,do zamieszkania,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,2021,apartamentowiec,plastikowe,tak,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,2024-01-16,"Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",20.4477184,53.7865686
Apartamenty wakacyjne nad jeziorem Ukiel,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",420720.0,12000,2 pokoje,35.06,Biuro nieruchomości,/pl/oferta/apartamenty-wakacyjne-nad-jeziorem-ukiel-ID4fvMx,"35,06 m²",pełna własność,2,Zapytaj,1/2,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,inne,pierwotny,biuro nieruchomości ,brak informacji,2024,apartamentowiec,aluminiowe,tak,"telewizja kablowa, internet",system alarmowy,brak informacji,klimatyzacja,inny,2024-01-16,"Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",20.4365504,53.7698795
Słoneczne 3 pokoje do zamieszkania,"Mieszkanie na sprzedaż: ul. Igora Sikiryckiego, Pieczewo, Olsztyn, warmińsko-mazurskie",399900.0,6610,3 pokoje,60.5,Biuro nieruchomości,/pl/oferta/sloneczne-3-pokoje-do-zamieszkania-ID4oBsQ,"60,5 m²",pełna własność,3,do remontu,parter/4,balkon,537 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,brak informacji,1989,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka",oddzielna kuchnia,wielka płyta,2024-01-16,"Igora Sikiryckiego, Pieczewo, Olsztyn, warmińsko-mazurskie",20.513025,53.7380099
Mieszkanie 3 pokoje blisko centrum Olsztyn,"Mieszkanie na sprzedaż: ul. Dworcowa 6, Pojezierze, Olsztyn, warmińsko-mazurskie",380000.0,8225,3 pokoje,46.2,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-blisko-centrum-olsztyn-ID4oHHh,"46,2 m²",pełna własność,3,do remontu,4/4,balkon,550 zł,Zapytaj,Wirtualny spacer,miejskie,wtórny,biuro nieruchomości ,brak informacji,1970,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,2024-01-16,"Dworcowa 6, Pojezierze, Olsztyn, warmińsko-mazurskie",20.5008241,53.7801885
Mieszkanie 63 m2 3 pokoje Olsztyn Podgrodzie,"Mieszkanie na sprzedaż: Śródmieście, Olsztyn, warmińsko-mazurskie",523000.0,8302,3 pokoje,63.0,63 m²,/pl/oferta/mieszkanie-63-m2-3-pokoje-olsztyn-podgrodzie-ID4a5pX,63 m²,pełna własność,3,do zamieszkania,2/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie,wtórny,prywatny,brak informacji,1985,blok,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",wielka płyta,2024-01-16,"Śródmieście, Olsztyn, warmińsko-mazurskie",20.479841247382936,53.777882700000006
"DUŻE mieszkanie, WYSOKI standard, IDEALNY rozkład","Mieszkanie na sprzedaż: ul. Ludwika Zamenhofa, Podleśna, Olsztyn, warmińsko-mazurskie",1169910.0,12999,4 pokoje,90.0,90 m²,/pl/oferta/duze-mieszkanie-wysoki-standard-idealny-rozklad-ID4ozL1,90 m²,pełna własność,4,do zamieszkania,5/5,"balkon, taras",800 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2020,blok,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. użytkowe",pustak,2024-01-16,"Ludwika Zamenhofa, Podleśna, Olsztyn, warmińsko-mazurskie",20.4980816,53.7917317
Apartamenty Wyzwolenia | apartament nr 56,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",697872.0,12400,3 pokoje,56.28,Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-56-ID4nyxZ,"56,28 m²",pełna własność,3,do wykończenia,4/7,Zapytaj,Zapytaj,garaż/miejsce parkingowe,tak,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,miejskie,2024-01-16,"Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4788715,53.7787175
Kawalerka dla inwestora. Bardzo dobra lokalizacja,"Mieszkanie na sprzedaż: ul. Mieczysława Orłowicza, Nagórki, Olsztyn, warmińsko-mazurskie",219000.0,9050,1 pokój,24.2,Biuro nieruchomości,/pl/oferta/kawalerka-dla-inwestora-bardzo-dobra-lokalizacja-ID4oHC6,"24,2 m²",spółdzielcze wł. prawo do lokalu,1,do zamieszkania,1/10,Zapytaj,357 zł,Zapytaj,Zapytaj,miejskie,wtórny,biuro nieruchomości ,2024-01-15,brak informacji,blok,plastikowe,tak,brak informacji,domofon / wideofon,meble,piwnica,wielka płyta,2024-01-16,"Mieczysława Orłowicza, Nagórki, Olsztyn, warmińsko-mazurskie",20.4924586,53.7554632
"Mieszkanie 63m2, Morenowa, Tęczowy Las","Mieszkanie na sprzedaż: Morenowa, Bartąg, Stawiguda, olsztyński, warmińsko-mazurskie",750000.0,11969,3 pokoje,62.66,"62,66 m²",/pl/oferta/mieszkanie-63m2-morenowa-teczowy-las-ID4oHzH,"62,66 m²",pełna własność,3,do zamieszkania,6/7,balkon,626 zł,garaż/miejsce parkingowe,Zapytaj,miejskie,wtórny,prywatny,brak informacji,2018,blok,brak informacji,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","klimatyzacja, pom. użytkowe",brak informacji,2024-01-16,"Morenowa, Bartąg, Stawiguda, olsztyński, warmińsko-mazurskie",20.4931478,53.7290652
"Lokal użytkowy lub mieszkanie, parter przy Ratuszu","Mieszkanie na sprzedaż: ul. Marii Curie-Skłodowskiej, Śródmieście, Olsztyn, warmińsko-mazurskie",493000.0,6991,3 pokoje,70.52,Biuro nieruchomości,/pl/oferta/lokal-uzytkowy-lub-mieszkanie-parter-przy-ratuszu-ID4lp8a,"70,52 m²",pełna własność,3,do wykończenia,parter/4,Zapytaj,170 zł,garaż/miejsce parkingowe,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,2005,kamienica,plastikowe,nie,"telewizja kablowa, internet",brak informacji,brak informacji,piwnica,cegła,2024-01-16,"Marii Curie-Skłodowskiej, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4785571,53.7806591
"Mieszkanie przy Ratuszu, parter na b&b lub kwatery","Mieszkanie na sprzedaż: ul. Marii Curie-Skłodowskiej, Śródmieście, Olsztyn, warmińsko-mazurskie",399500.0,6880,6 pokoi,58.07,Biuro nieruchomości,/pl/oferta/mieszkanie-przy-ratuszu-parter-na-b-b-lub-kwatery-ID4lp8m,"58,07 m²",pełna własność,6,do wykończenia,parter/3,Zapytaj,300 zł,Zapytaj,Zapytaj,gazowe,wtórny,biuro nieruchomości ,brak informacji,2005,kamienica,plastikowe,nie,"telewizja kablowa, internet",brak informacji,brak informacji,brak informacji,cegła,2024-01-16,"Marii Curie-Skłodowskiej, Śródmieście, Olsztyn, warmińsko-mazurskie",20.4785571,53.7806591
Mieszkanie 3 pokoje Śródmieście,"Mieszkanie na sprzedaż: Kormoran, Olsztyn, warmińsko-mazurskie",429000.0,8906,3 pokoje,48.17,Biuro nieruchomości,/pl/oferta/mieszkanie-3-pokoje-srodmiescie-ID4oBhN,"48,17 m²",spółdzielcze wł. prawo do lokalu,3,do zamieszkania,1/10,balkon,790 zł,Zapytaj,Wirtualny spacer,miejskie,wtórny,biuro nieruchomości ,brak informacji,1978,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",wielka płyta,2024-01-16,"Kormoran, Olsztyn, warmińsko-mazurskie",20.498350881402075,53.7685685
